Time,Linear_Position,Linear_Velocity,Linear_Acceleration,Angular_Position,Angular_Velocity,Delta Gravity
0,"(300.0, -4428768844.340278)","(6.3783687455591315e-18, -4428768844.340278)","(6.3783687455591315e-18, -4428768844.340278)",44287695444.44444,44287695444.44444,106290452266666.67
1,"(300.0, -8857537688.576408)","(1.2756737491118263e-17, -4428768844.236132)","(6.3783687455591315e-18, 0.10414634499191565)",88575393888.88889,44287698444.44444,0.4877201940243856
2,"(300.0, -13286306532.708378)","(1.9135106236677395e-17, -4428768844.13197)","(6.3783687455591315e-18, 0.1041615862479788)",132863093833.33333,44287699944.44444,0.1219300485089641
3,"(300.0, -17715075376.736183)","(2.5513474982236526e-17, -4428768844.027806)","(6.3783687455591315e-18, 0.10416440870280534)",177150794777.77777,44287700944.44444,0.054191132671925234
4,"(300.0, -22143844220.659824)","(3.189184372779566e-17, -4428768843.923641)","(6.3783687455591315e-18, 0.10416539656199464)",221438496472.22223,44287701694.44444,0.030482512128674866
5,"(300.0, -26572613064.4793)","(3.8270212473354795e-17, -4428768843.819475)","(6.3783687455591315e-18, 0.10416585379967655)",265726198766.6667,44287702294.44444,0.01950880776281076
6,"(300.0, -31001381908.19461)","(4.464858121891393e-17, -4428768843.715309)","(6.3783687455591315e-18, 0.1041661021757013)",310013901561.11115,44287702794.44444,0.013547783168937214
7,"(300.0, -35430150751.805756)","(5.1026949964473065e-17, -4428768843.611143)","(6.3783687455591315e-18, 0.10416625193861047)",354301604784.127,44287703223.01587,0.009953473348841042
8,"(300.0, -39858919595.31273)","(5.74053187100322e-17, -4428768843.506977)","(6.3783687455591315e-18, 0.10416634914049863)",398589308382.1429,44287703598.01587,0.0076206280328856586
9,"(300.0, -44287688438.71554)","(6.378368745559133e-17, -4428768843.402811)","(6.3783687455591315e-18, 0.10416641578179316)",442877012313.49207,44287703931.349205,0.0060212369643969565
10,"(300.0, -48716457282.01418)","(7.016205620115047e-17, -4428768843.298645)","(6.3783687455591315e-18, 0.10416646344991912)",487164716544.84125,44287704231.349205,0.004877201941276247
11,"(300.0, -53145226125.208664)","(7.65404249467096e-17, -4428768843.194479)","(6.3783687455591315e-18, 0.10416649871894142)",531452421048.9177,44287704504.07648,0.004030745406108232
12,"(300.0, -57573994968.29897)","(8.291879369226874e-17, -4428768843.090312)","(6.3783687455591315e-18, 0.1041665255439253)",575740125802.9941,44287704754.07648,0.0033869457927122723
13,"(300.0, -62002763811.28512)","(8.929716243782787e-17, -4428768842.986145)","(6.3783687455591315e-18, 0.10416654642007048)",620027830787.8398,44287704984.84571,0.0028859183086511154
14,"(300.0, -66431532654.1671)","(9.567553118338701e-17, -4428768842.881978)","(6.3783687455591315e-18, 0.1041665629846526)",664315535986.9713,44287705199.131424,0.002488368337619948
15,"(300.0, -70860301496.94492)","(1.0205389992894614e-16, -4428768842.777811)","(6.3783687455591315e-18, 0.10416657634811219)",708603241386.1028,44287705399.131424,0.002167645307488805
16,"(300.0, -75289070339.61856)","(1.0843226867450528e-16, -4428768842.673644)","(6.3783687455591315e-18, 0.10416658728512465)",752890946972.7343,44287705586.631424,0.0019051570085798922
17,"(300.0, -79717839182.18803)","(1.148106374200644e-16, -4428768842.569477)","(6.3783687455591315e-18, 0.10416659634945297)",797178652735.8363,44287705763.10201,0.001687613128747141
18,"(300.0, -84146608024.65335)","(1.2118900616562352e-16, -4428768842.46531)","(6.3783687455591315e-18, 0.10416660394544829)",841466358665.605,44287705929.76868,0.0015053092414178861
19,"(300.0, -88575376867.0145)","(1.2756737491118264e-16, -4428768842.361143)","(6.3783687455591315e-18, 0.1041666103739388)",885754064753.2684,44287706087.663414,0.0013510254687835637
20,"(300.0, -93004145709.27147)","(1.3394574365674177e-16, -4428768842.256976)","(6.3783687455591315e-18, 0.10416661586247977)",930041770990.9319,44287706237.663414,0.0012193004856058444
21,"(300.0, -97432914551.42429)","(1.403241124023009e-16, -4428768842.152809)","(6.3783687455591315e-18, 0.10416662058577152)",974329477371.4524,44287706380.52055,0.0011059414835687283
22,"(300.0, -101861683393.47293)","(1.4670248114786e-16, -4428768842.048642)","(6.3783687455591315e-18, 0.10416662467973535)",1018617183888.3365,44287706516.88419,0.0010076863517877697
23,"(300.0, -106290452235.4174)","(1.5308084989341913e-16, -4428768841.944475)","(6.3783687455591315e-18, 0.10416662825140247)",1062904890535.6555,44287706647.31898,0.0009219663407878108
24,"(300.0, -110719221077.2577)","(1.5945921863897825e-16, -4428768841.840308)","(6.3783687455591315e-18, 0.10416663138598133)",1107192597307.9746,44287706772.31898,0.0008467364484170543
25,"(300.0, -115147989918.99385)","(1.6583758738453738e-16, -4428768841.736141)","(6.3783687455591315e-18, 0.10416663415198706)",1151480304200.2937,44287706892.31898,0.0007803523108795117
26,"(300.0, -119576758760.62582)","(1.722159561300965e-16, -4428768841.631974)","(6.3783687455591315e-18, 0.10416663660501761)",1195768011207.9973,44287707007.70359,0.0007214795773833819
27,"(300.0, -124005527602.15363)","(1.7859432487565562e-16, -4428768841.527807)","(6.3783687455591315e-18, 0.1041666387905696)",1240055718326.812,44287707118.814705,0.0006690263296606825
28,"(300.0, -128434296443.57727)","(1.8497269362121474e-16, -4428768841.42364)","(6.3783687455591315e-18, 0.10416664074616315)",1284343425552.7695,44287707225.957565,0.0006220920846098329
29,"(300.0, -132863065284.89674)","(1.9135106236677387e-16, -4428768841.319473)","(6.3783687455591315e-18, 0.10416664250296302)",1328631132882.1753,44287707329.40584,0.0005799288874501551
30,"(300.0, -137291834126.11205)","(1.97729431112333e-16, -4428768841.215306)","(6.3783687455591315e-18, 0.10416664408702804)",1372918840311.581,44287707429.40584,0.000541911327063391
31,"(300.0, -141720602967.32736)","(1.97729431112333e-16, -4428768841.215306)","(0, -2.1146383730858626e-08)",1417206547837.761,44287707526.18003,0.000507513209540607
32,"(300.0, -146149371808.54266)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.9845385513479724e-08)",1461494255457.691,44287707619.93003,0.00047628925232351334
33,"(300.0, -150578140649.75797)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.866085837118841e-08)",1505781963168.53,44287707710.83912,0.00044786060090852185
34,"(300.0, -155006909490.97327)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.7579303431332495e-08)",1550069670967.6045,44287707799.07441,0.00042190328235197985
35,"(300.0, -159435678332.18857)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.658912225877054e-08)",1594357378852.393,44287707884.7887,0.00039813893421049296
36,"(300.0, -163864447173.40387)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.5680304604434184e-08)",1638645086820.5151,44287707968.12203,0.0003763273105064204
37,"(300.0, -168293216014.61917)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.484417441028519e-08)",1682932794869.7183,44287708049.20311,0.00035626018584684454
38,"(300.0, -172721984855.83447)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.4073181972296805e-08)",1727220502997.8687,44287708128.150475,0.0003377563673351233
39,"(300.0, -177150753697.04977)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.3360732918012181e-08)",1771508211202.9421,44287708205.073555,0.00032065759003229236
40,"(300.0, -181579522538.26508)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.2701046730363422e-08)",1815795919483.0156,44287708280.073555,0.00030482512152872214
41,"(300.0, -186008291379.48038)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.208903912483791e-08)",1860083627836.26,44287708353.244286,0.00029013693899610985
42,"(300.0, -190437060220.69568)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.152022379201285e-08)",1904371336260.9329,44287708424.67286,0.0002764853710083084
43,"(300.0, -194865829061.91098)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.0990629945568847e-08)",1948659044755.373,44287708494.4403,0.00026377511869365235
44,"(300.0, -199294597903.12628)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.0496732835532925e-08)",1992946753317.995,44287708562.622116,0.0002519215880527902
45,"(300.0, -203723366744.34158)","(1.97729431112333e-16, -4428768841.215306)","(0, -1.0035394948057407e-08)",2037234461947.284,44287708629.28878,0.00024084947875337777
46,"(300.0, -208152135585.5569)","(1.97729431112333e-16, -4428768841.215306)","(0, -9.603816053889884e-09)",2081522170641.79,44287708694.50617,0.00023049158529335722
47,"(300.0, -212580904426.7722)","(1.97729431112333e-16, -4428768841.215306)","(0, -9.199490615770304e-09)",2125809879400.126,44287708758.33596,0.00022078777477848728
48,"(300.0, -217009673267.9875)","(1.97729431112333e-16, -4428768841.215306)","(0, -8.820171341334045e-09)",2170097588220.962,44287708820.83596,0.00021168411219201708
49,"(300.0, -221438442109.2028)","(1.97729431112333e-16, -4428768841.215306)","(0, -8.463837888639164e-09)",2214385297103.0225,44287708882.06045,0.00020313210932733995
50,"(300.0, -225867210950.4181)","(1.97729431112333e-16, -4428768841.215306)","(0, -8.128669908321629e-09)",2258673006045.083,44287708942.06045,0.0001950880777997191
51,"(300.0, -230295979791.6334)","(1.97729431112333e-16, -4428768841.215306)","(0, -7.813023748934406e-09)",2302960715045.967,44287709000.88398,0.00018751256997442576
52,"(300.0, -234724748632.8487)","(1.97729431112333e-16, -4428768841.215306)","(0, -7.515412267435653e-09)",2347248424104.543,44287709058.57629,0.0001803698944184557
