Frame,Satellite X (km),Satellite Y (km),Velocity X (km/s),Velocity Y (km/s),Force X (N),Force Y (N),Total Distance (km),Total Velocity (km/s),Total Acceleration (km/s²)
0,36304.86713980531,29094.631237281403,-3995.132860194691,-985.3687627185992,-39951.32860194691,-10653.687627185993,310.4834939252008,4114.855789593239,413474.2697095428
1,32336.481968042124,28115.816101319142,-3968.385171763185,-978.8151359622561,267.47688431505554,65.53626756343158,3804.4315542531704,4087.316961266735,416227.591066179
2,28374.31169967025,27138.528986932997,-3962.170268371872,-977.2871143861424,62.14903391313064,15.280215761138427,7891.746168636679,4080.9169728769575,2113.887340740514
3,24414.84148242756,26161.906445502915,-3959.470217242689,-976.6225414300847,27.000511291832826,6.645729560578054,11972.662394599069,4078.13633779711,361.93549071727574
4,20456.873531154688,25185.653860998802,-3957.9679512728753,-976.2525845041166,15.022659698142824,3.6995692596796257,16050.798364907982,4076.5891885317765,123.3486073367073
5,16499.86091854052,24209.636619134988,-3957.012612614166,-976.0172418638115,9.553386587093387,2.3534264030516896,20127.387334758525,4075.6052891322815,56.324993523034514
6,12543.508982271722,23233.782165929726,-3956.3519362687985,-975.854453205261,6.606763453677371,1.6278865855050435,24202.992478832068,4074.9248529829856,30.34632748328541
7,8587.641026987638,22258.046982181295,-3955.8679552840836,-975.7351837484316,4.839809847146988,1.192694568294632,28277.917228549286,4074.426392567187,18.19757439735966
8,4632.142822261182,21282.402927897157,-3955.4982047264552,-975.644054284136,3.697505576280525,0.9112946429550288,32352.343543853236,4074.0455775867554,11.764544042252101
9,676.9362836016107,20306.83076451775,-3955.2065386595714,-975.5721633794108,2.9166606688406485,0.7189090472522751,36426.38906145471,4073.745182189997,8.041958635237396
10,-3278.0343140214463,19331.316760808015,-3954.970597623057,-975.5140037097312,2.3594103651475278,0.5815966967952376,40500.13419572368,4073.502178653728,5.739186201493304
11,-7232.810125144869,18355.85077488599,-3954.7758111234225,-975.4659859220288,1.947864996344779,0.48017787702477766,44573.636335213145,4073.3015608886312,4.238577209236888
12,-11187.422404255354,17380.42510397288,-3954.612279110486,-975.4256709131043,1.6353201293678907,0.40315008924390283,48646.93786349467,4073.1331328066985,3.2189683745575417
13,-15141.895444388518,16405.033760568767,-3954.4730401331617,-975.3913434041137,1.3923897732357793,0.3432750899047101,52720.07096873165,4072.9897247510576,2.502002667391521
